Aar;Region;FG;Antall.belastet.kvoten;V.Hunner.belastet.kvoten;V.Hunner.Avgang;kommentar
1999;7;16;11;5;5;
1999;8;5;1;1;1;
1998;1;2;5;2;2;
1998;2;14;29;8;9;
1998;3;2.5;11;4;4;
1998;4;6.5;0;0;0;
1998;5;11;14;6;6;
1998;6;14;32;12;13;
1998;7;10.5;16;6;6;
1998;8;7.5;11;5;5;
1997;1;0;0;0;0;
1997;2;20;18;4;4;
1997;3;3.5;5;0;1;
1997;4;3;0;0;0;
1997;5;7.5;9;3;4;
1997;6;26;40;10;10;
1997;7;14.5;16;4;5;
1997;8;7.5;5;1;1;
1996;1;4.5;3;0;0;
1996;2;14.5;15;1;1;
1996;3;1;4;0;0;
1996;4;2;0;0;0;
1996;5;9;10;2;3;
1996;6;20.5;34;10;10;
1996;7;12.5;14;6;7;
1996;8;5;4;2;5;
